claim_id,policy_id,claim_date,close_date,claim_type,incurred_loss,paid_loss,status,at_fault
CLM-0001,POL-0001,2024-02-15,2024-04-01,collision,4200.00,4200.00,closed,Y
CLM-0002,POL-0003,2024-03-10,2024-05-15,collision,8500.00,8500.00,closed,N
CLM-0003,POL-0005,2024-02-01,2024-03-20,comprehensive,1200.00,1200.00,closed,N
CLM-0004,POL-0006,2024-04-05,,wind_hail,15000.00,0.00,open,N
CLM-0005,POL-0008,2024-03-22,2024-06-01,collision,6800.00,6800.00,closed,Y
CLM-0006,POL-0009,2024-04-10,,water_damage,22000.00,0.00,open,N
CLM-0007,POL-0011,2024-02-28,2024-04-15,fire,45000.00,45000.00,closed,N
CLM-0008,POL-0012,2024-03-05,2024-04-30,collision,3100.00,3100.00,closed,Y
CLM-0009,POL-0014,2024-05-01,,theft,8500.00,0.00,open,N
CLM-0010,POL-0015,2024-04-18,2024-06-30,collision,5200.00,5200.00,closed,N
CLM-0011,POL-0016,2024-03-15,2024-05-01,wind_hail,18000.00,18000.00,closed,N
CLM-0012,POL-0019,2024-05-10,,water_damage,31000.00,0.00,open,N
CLM-0013,POL-0020,2024-02-20,2024-03-31,collision,2800.00,2800.00,closed,Y
CLM-0014,POL-0001,2024-06-01,,collision,9200.00,0.00,open,Y
CLM-0015,POL-0021,2024-05-15,2024-07-01,comprehensive,950.00,950.00,closed,N
CLM-0016,POL-0022,2024-05-20,,fire,67000.00,0.00,open,N
CLM-0017,POL-0023,2024-06-02,,collision,4100.00,0.00,open,Y
CLM-0018,POL-0002,2024-04-22,2024-06-15,water_damage,12000.00,12000.00,closed,N
CLM-0019,POL-0025,2024-06-10,,wind_hail,9800.00,0.00,open,N
CLM-0020,POL-0007,2024-05-28,2024-07-15,collision,3600.00,3600.00,closed,N